"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"","{null}","{null}","{null}","109.73","{null}"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"Sushi Love 03112","Wednesday, June 19, 2019 9:19:06 PM","Wednesday, June 19, 2019 9:19:05 PM","Student Food","$25.75","F"
"Sushi Love 03112","Wednesday, June 19, 2019 9:19:09 PM","Wednesday, June 19, 2019 9:19:08 PM","Food Tips","$2.57","F"
"Sushi Love 03112","Wednesday, June 19, 2019 9:42:58 PM","Wednesday, June 19, 2019 9:42:56 PM","Student Flex","$21.25","F"
"Sushi Love 03112","Wednesday, June 19, 2019 9:43:03 PM","Wednesday, June 19, 2019 9:43:02 PM","Flex Tips","$4.25","F"
"Sushi Love 03112","Wednesday, June 19, 2019 9:44:01 PM","Wednesday, June 19, 2019 9:44:01 PM","Student Food","$53.25","F"
"Sushi Love 03112","Wednesday, June 19, 2019 9:44:13 PM","Wednesday, June 19, 2019 9:44:13 PM","Food Tips","$2.66","F"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"{null}","{null}","{null}","{null}","109.73","{null}"


