"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"","{null}","{null}","{null}","211.57","{null}"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"Sushi Love 4","Thursday, June 13, 2019 9:40:11 PM","Thursday, June 13, 2019 9:40:08 PM","Student Food","$32.25","F"
"Sushi Love 4","Thursday, June 13, 2019 9:40:14 PM","Thursday, June 13, 2019 9:40:13 PM","Food Tips","$3.22","F"
"Sushi Love 4","Thursday, June 13, 2019 10:19:02 PM","Thursday, June 13, 2019 10:19:00 PM","Student Food","$20.25","F"
"Sushi Love 4","Thursday, June 13, 2019 10:19:38 PM","Thursday, June 13, 2019 10:19:36 PM","Student Food","$20.75","F"
"Sushi Love 4","Thursday, June 13, 2019 10:19:40 PM","Thursday, June 13, 2019 10:19:39 PM","Food Tips","$3.11","F"
"Sushi Love 4","Thursday, June 13, 2019 10:20:16 PM","Thursday, June 13, 2019 10:20:14 PM","Student Food","$56.75","F"
"Sushi Love 4","Thursday, June 13, 2019 10:20:18 PM","Thursday, June 13, 2019 10:20:17 PM","Food Tips","$5.67","F"
"Sushi Love 4","Thursday, June 13, 2019 10:20:49 PM","Thursday, June 13, 2019 10:20:47 PM","Student Food","$21.25","F"
"Sushi Love 4","Thursday, June 13, 2019 10:20:53 PM","Thursday, June 13, 2019 10:20:51 PM","Food Tips","$3.18","F"
"Sushi Love 4","Thursday, June 13, 2019 10:21:19 PM","Thursday, June 13, 2019 10:21:17 PM","Student Food","$17.50","F"
"Sushi Love 4","Thursday, June 13, 2019 10:21:22 PM","Thursday, June 13, 2019 10:21:20 PM","Food Tips","$2.62","F"
"Sushi Love 4","Thursday, June 13, 2019 10:52:42 PM","Thursday, June 13, 2019 10:52:40 PM","Student Food","$22.75","F"
"Sushi Love 4","Thursday, June 13, 2019 10:52:44 PM","Thursday, June 13, 2019 10:52:43 PM","Food Tips","$2.27","F"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"{null}","{null}","{null}","{null}","211.57","{null}"


