"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"","{null}","{null}","{null}","206.87","{null}"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"Sushi Love 4","Wednesday, June 12, 2019 8:12:11 PM","Wednesday, June 12, 2019 8:12:11 PM","Student Food","$19.25","F"
"Sushi Love 4","Wednesday, June 12, 2019 8:12:15 PM","Wednesday, June 12, 2019 8:12:15 PM","Food Tips","$2.88","F"
"Sushi Love 4","Wednesday, June 12, 2019 8:12:52 PM","Wednesday, June 12, 2019 8:12:51 PM","Student Food","$34.50","F"
"Sushi Love 4","Wednesday, June 12, 2019 8:13:00 PM","Wednesday, June 12, 2019 8:12:59 PM","Food Tips","$1.72","F"
"Sushi Love 4","Wednesday, June 12, 2019 8:13:39 PM","Wednesday, June 12, 2019 8:13:38 PM","Student Food","$35.75","F"
"Sushi Love 4","Wednesday, June 12, 2019 8:13:43 PM","Wednesday, June 12, 2019 8:13:42 PM","Food Tips","$1.78","F"
"Sushi Love 4","Wednesday, June 12, 2019 8:16:10 PM","Wednesday, June 12, 2019 8:16:09 PM","Student Food","$21.00","F"
"Sushi Love 4","Wednesday, June 12, 2019 8:16:14 PM","Wednesday, June 12, 2019 8:16:13 PM","Food Tips","$4.20","F"
"Sushi Love 4","Wednesday, June 12, 2019 9:40:31 PM","Wednesday, June 12, 2019 9:40:30 PM","Student Flex","$18.50","F"
"Sushi Love 4","Wednesday, June 12, 2019 9:40:35 PM","Wednesday, June 12, 2019 9:40:34 PM","Flex Tips","$1.85","F"
"Sushi Love 4","Wednesday, June 12, 2019 9:41:57 PM","Wednesday, June 12, 2019 9:41:57 PM","Student Food","$34.75","F"
"Sushi Love 4","Wednesday, June 12, 2019 9:42:00 PM","Wednesday, June 12, 2019 9:42:00 PM","Food Tips","$3.47","F"
"Sushi Love 4","Wednesday, June 12, 2019 9:49:22 PM","Wednesday, June 12, 2019 9:49:21 PM","Student Food","$24.75","F"
"Sushi Love 4","Wednesday, June 12, 2019 9:49:25 PM","Wednesday, June 12, 2019 9:49:24 PM","Food Tips","$2.47","F"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"{null}","{null}","{null}","{null}","206.87","{null}"


