"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"","{null}","{null}","{null}","231.49","{null}"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"Sushi Love 4","Sunday, June 16, 2019 8:30:20 PM","Sunday, June 16, 2019 8:30:20 PM","Student Flex","$31.75","F"
"Sushi Love 4","Sunday, June 16, 2019 8:30:24 PM","Sunday, June 16, 2019 8:30:24 PM","Flex Tips","$4.76","F"
"Sushi Love 4","Sunday, June 16, 2019 8:31:49 PM","Sunday, June 16, 2019 8:31:48 PM","Student Flex","$18.25","F"
"Sushi Love 4","Sunday, June 16, 2019 8:31:52 PM","Sunday, June 16, 2019 8:31:51 PM","Flex Tips","$1.82","F"
"Sushi Love 4","Sunday, June 16, 2019 8:32:17 PM","Sunday, June 16, 2019 8:32:17 PM","Student Food","$24.00","F"
"Sushi Love 4","Sunday, June 16, 2019 8:32:20 PM","Sunday, June 16, 2019 8:32:19 PM","Food Tips","$4.80","F"
"Sushi Love 4","Sunday, June 16, 2019 8:32:34 PM","Sunday, June 16, 2019 8:32:32 PM","Student Food","$22.25","F"
"Sushi Love 4","Sunday, June 16, 2019 8:32:37 PM","Sunday, June 16, 2019 8:32:37 PM","Food Tips","$4.45","F"
"Sushi Love 4","Sunday, June 16, 2019 8:33:09 PM","Sunday, June 16, 2019 8:33:08 PM","Student Flex","$59.50","F"
"Sushi Love 4","Sunday, June 16, 2019 8:33:14 PM","Sunday, June 16, 2019 8:33:14 PM","Flex Tips","$5.95","F"
"Sushi Love 4","Sunday, June 16, 2019 9:15:21 PM","Sunday, June 16, 2019 9:15:20 PM","Student Food","$17.75","F"
"Sushi Love 4","Sunday, June 16, 2019 9:15:24 PM","Sunday, June 16, 2019 9:15:23 PM","Food Tips","$1.77","F"
"Sushi Love 4","Sunday, June 16, 2019 9:17:06 PM","Sunday, June 16, 2019 9:17:05 PM","Student Flex","$28.70","F"
"Sushi Love 4","Sunday, June 16, 2019 9:17:08 PM","Sunday, June 16, 2019 9:17:08 PM","Flex Tips","$5.74","F"


"POS Name","Retail Tran Post DateTime","Retail Tran DateTime","Tender Name","Retail Tran Tender Amount","Offline Tran Flag"
"{null}","{null}","{null}","{null}","231.49","{null}"


